Name,Periastron,Semimajor Axis,Apastron,Eccentricity,Period,Diameter
Achilles,4.4430,5.2160,5.9900,0.14810,11.9000 years,130.099 km
Scheila,2.4650,2.9330,3.4000,0.15950,5.0200 years,159.726 km
Marianna,2.3040,3.0800,3.8600,0.25190,5.4100 years,110.444 km
Elfriede,2.9720,3.1900,3.4100,0.06820,5.7000 years,131.292 km
Zelinda,1.7650,2.2970,2.8300,0.23170,3.4800 years,160.736 km
Nestor,4.5700,5.1690,5.7700,0.11590,11.8000 years,112.32 km
Gerlinde,2.6120,3.0640,3.5200,0.14770,5.3600 years,107.795 km
Wratislavia,2.5980,3.1520,3.7100,0.17580,5.6000 years,134.65 km
Ekard,1.8080,2.6700,3.5300,0.32280,4.3600 years,121.891 km
Alauda,3.1430,3.1920,3.2400,0.01530,5.7000 years,190.98 km
Interamnia,2.5830,3.0570,3.5300,0.15510,5.3400 years,306.313 km
Erminia,2.7700,2.9220,3.0700,0.05210,5.0000 years,132.261 km
Boliviana,2.0990,2.5760,3.0500,0.18490,4.1300 years,124.125 km
Mandeville,2.3500,2.7390,3.1300,0.14180,4.5300 years,104.517 km
Winchester,1.9800,2.9990,4.0200,0.33980,5.1900 years,171.71 km
Simeisa,3.2030,3.9520,4.7000,0.18960,7.8600 years,103.714 km
Faina,2.1640,2.5520,2.9400,0.15200,4.0800 years,113.699 km
Pulcova,2.8110,3.1520,3.4900,0.10800,5.6000 years,147.343 km
Tanete,2.7130,3.0000,3.2900,0.09540,5.2000 years,126.473 km
Berbericia,2.4470,2.9310,3.4100,0.16500,5.0200 years,151.711 km
Armenia,2.8170,3.1150,3.4100,0.09560,5.5000 years,126.263 km
Bredichina,2.7060,3.1890,3.6700,0.15150,5.7000 years,108.309 km
Hohensteina,2.6970,3.1230,3.5500,0.13650,5.5200 years,111.295 km
Pretoria,2.8690,3.4010,3.9300,0.15640,6.2700 years,170.37 km
Ani,2.5250,3.1230,3.7200,0.19160,5.5200 years,116.865 km
Hispania,2.4360,2.8380,3.2400,0.14160,4.7800 years,137.952 km
Tauris,2.2000,3.1620,4.1200,0.30430,5.6200 years,102.229 km
Priamus,4.5690,5.2110,5.8500,0.12320,11.9000 years,101.093 km
Helio,2.7480,3.2040,3.6600,0.14230,5.7400 years,109.568 km
Ulla,3.2060,3.5410,3.8800,0.09470,6.6600 years,116.44 km
Agamemnon,4.9340,5.2870,5.6400,0.06670,12.2000 years,131.038 km
Flammario,1.9620,2.7400,3.5200,0.28370,4.5300 years,100.765 km
Freda,2.2890,3.1340,3.9800,0.26970,5.5500 years,116.73 km
Odysseus,4.7580,5.2270,5.7000,0.08990,12.0000 years,114.624 km
Aneas,4.6900,5.2400,5.7900,0.10490,12.0000 years,118.02 km
Troilus,4.7700,5.2550,5.7400,0.09240,12.0000 years,100.477 km
Rollandia,3.5480,3.9300,4.3100,0.09730,7.7900 years,104.893 km
Diomedes,4.9890,5.2290,5.4700,0.04590,12.0000 years,117.786 km
Antilochus,4.8810,5.1540,5.4300,0.05290,11.7000 years,108.842 km
Deiphobus,4.9080,5.1360,5.3600,0.04440,11.6000 years,118.22 km
Chiron,8.4870,13.6800,18.8800,0.37980,50.6000 years,166 km
Alcathous,4.8220,5.1680,5.5100,0.06710,11.7000 years,113.682 km
Makhaon,4.9120,5.2260,5.5400,0.06020,11.9000 years,111.655 km
Paris,4.5620,5.2280,5.8900,0.12740,12.0000 years,118.79 km
Mentor,4.8120,5.1970,5.5800,0.07400,11.8000 years,126.288 km
